OSEBuildingID,BuildingType,PropertyName,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,SteamRatio,ElectricityRatio,NaturalGasRatio,SurfacePerBuilding,SurfacePerFloor,ParkingRatio,BuildingRatio,building_age
527,NonResidential,Northwest Corporate Park,Greater Duwamish,1.0,2,90000,0,90000,Warehouse,87.0,1429146.375,17.17,0.0,0.890686931910666,0.109312805694938,90000.0,45000.0,0.0,1.0,58
530,NonResidential,Magnum Building,Ballard,1.0,2,63240,0,63240,Warehouse,100.0,227566.7031,8.15,0.0,0.3753141335552442,0.6246871711171703,63240.0,31620.0,0.0,1.0,84
534,NonResidential,Nickerson Street Self  Storage,Magnolia / Queen Anne,1.0,4,106041,0,106041,Warehouse,94.0,1123943.0,25.58,0.0,0.6578118285357888,0.34218817146421127,106041.0,26510.25,0.0,1.0,28
538,NonResidential,Fifth and Jackson,Downtown,1.0,10,181694,38186,143508,Office,88.0,7637986.0,53.25,0.0,0.9999998690754343,0.0,143508.0,14350.8,0.21016654374938082,0.7898334562506192,23
540,NonResidential,NWCP-SEA Bldg K,Greater Duwamish,1.0,1,22780,0,22780,Warehouse,33.0,402051.3125,2.8,0.0,0.9999992227360283,0.0,22780.0,22780.0,0.0,1.0,59
774,NonResidential,Pacific Building,Downtown,1.0,22,227556,98556,129000,Office,95.0,8493420.0,59.21,0.0,0.9999998822617979,0.0,129000.0,5863.636363636364,0.4331065759637188,0.5668934240362812,55
544,NonResidential,Seattle Distribution Center Bldg B,Greater Duwamish,1.0,1,50065,0,50065,Warehouse,72.0,1529510.25,42.65,0.0,0.5467508308623626,0.4532490056866242,50065.0,50065.0,0.0,1.0,58
545,NonResidential,GLACIER NORTHWEST (6335 1st Ave S),Greater Duwamish,1.0,1,57540,0,57540,Warehouse,26.0,2582687.0,76.68,0.0,0.5076035152536873,0.49239648474631265,57540.0,57540.0,0.0,1.0,56
546,NonResidential,NWCP-SEA Bldg A,Greater Duwamish,1.0,1,85400,0,85400,Warehouse,49.0,1536998.25,10.72,0.0,0.999999837345293,0.0,85400.0,85400.0,0.0,1.0,59
547,NonResidential,NWCP-SEA Bldg B,Greater Duwamish,1.0,1,55700,0,55700,Warehouse,63.0,519806.0938,3.62,0.0,0.9999998195480948,0.0,55700.0,55700.0,0.0,1.0,59
548,NonResidential,Resource Center,Greater Duwamish,1.0,1,53250,0,53250,Office,96.0,1794187.25,46.93,0.0,0.5842049094931424,0.415794951168001,53250.0,53250.0,0.0,1.0,61
549,NonResidential,400 Mercer Street,Magnolia / Queen Anne,1.0,6,78672,28427,50245,Office,98.0,2179719.75,28.63,0.0,0.8663967007685277,0.1336029551505417,50245.0,8374.166666666666,0.3613356721578198,0.6386643278421802,38
550,NonResidential,21517-Seattle / Aurora AVE N,Northwest,1.0,3,64660,0,64660,Warehouse,89.0,325513.0,6.32,0.0,0.7305791166558632,0.2694208833441368,64660.0,21553.333333333332,0.0,1.0,39
552,NonResidential,South Seattle Distribution Center- 3800,Greater Duwamish,1.0,1,161678,0,161678,Warehouse,25.0,9357230.0,204.81,0.0,0.6766962017605638,0.3233036913702025,161678.0,161678.0,0.0,1.0,57
554,NonResidential,South Seattle Distribution Center- 3601,Greater Duwamish,1.0,1,52613,0,52613,Warehouse,80.0,1061458.25,32.02,0.0,0.49730830204579407,0.5026914624291628,52613.0,52613.0,0.0,1.0,45
561,NonResidential,Alley24,Lake Union,1.0,6,336700,124800,211900,Office,95.0,9058916.0,54.92,0.0,0.8695734677305762,0.0,211900.0,35316.666666666664,0.37065637065637064,0.6293436293436293,20
562,NonResidential,011-Seattle,Lake Union,1.0,4,264008,159994,104014,Retail,42.0,9937707.0,190.61,0.0,0.7353714493695578,0.26462845000360746,104014.0,26003.5,0.6060195145601649,0.39398048543983516,29
563,NonResidential,Darigold HQ,Central,1.0,2,62220,0,62220,Office,32.0,5444253.5,38.55,0.0,0.9976438459377397,0.002356062222304674,62220.0,31110.0,0.0,1.0,111
564,NonResidential,Poplar Building,Greater Duwamish,1.0,1,65430,0,65430,Office,89.0,3181045.5,90.24,0.0,0.5362365926548363,0.4637632501641363,65430.0,65430.0,0.0,1.0,55
565,NonResidential,Northcut Landing,Northeast,1.0,3,102290,42440,59850,Office,26.0,6062770.5,49.17,0.0,0.9753258844285793,0.024674033100873603,59850.0,19950.0,0.4148988170886695,0.5851011829113305,19
